team,league,matches_played,avg_yellows_per_game,avg_reds_per_game,avg_fouls_per_game,yellow_trend,aggression_index,home_yellow_avg,away_yellow_avg,away_card_premium,last_match_date,days_since_last,matches_last_21d,matches_last_7d
Oxford,Championship,92.0,1.652,0.011,10.565,-0.1526,0.1889,1.413,1.891,0.478,2026-05-02,29,0,0
Paderborn,Bundesliga2,340.0,1.976,0.097,13.068,-0.1399,0.387,1.806,2.147,0.341,2026-05-17,14,1,0
Padova,SerieB,74.0,2.581,0.095,15.27,-0.0702,0.575,2.378,2.784,0.405,2026-05-08,23,0,0
Palermo,SerieB,647.0,2.229,0.142,15.603,-0.1026,0.5676,2.189,2.269,0.08,2026-05-08,23,0,0
Paris FC,Ligue1,286.0,1.766,0.14,12.885,-0.0372,0.3654,1.69,1.84,0.15,2026-05-17,14,2,0
Paris SG,Ligue1,699.0,1.594,0.089,11.967,-0.1215,0.2815,1.451,1.736,0.285,2026-05-17,14,3,0
Parma,SerieA,687.0,2.314,0.13,15.671,-0.3087,0.5774,2.317,2.312,-0.005,2026-05-24,7,3,1
Partick,ScottishPrem,238.0,1.735,0.105,11.609,0.0373,0.2819,1.554,1.923,0.369,2018-05-12,2941,0,0
Pau FC,Ligue2,220.0,2.159,0.123,13.545,-0.1663,0.4407,1.927,2.391,0.464,2026-05-09,22,0,0
Perpignan,Ligue2,,,,,,,,,,1997-05-24,10599,0,0
Perugia,SerieB,192.0,2.469,0.182,16.432,0.4177,0.6511,2.438,2.5,0.062,2023-05-19,1108,0,0
Pescara,SerieB,268.0,2.362,0.134,15.086,-0.1956,0.5516,2.321,2.403,0.082,2026-05-08,23,0,0
Peterboro,Championship,184.0,1.293,0.038,10.109,0.4689,0.1315,1.304,1.283,-0.022,2022-05-07,1485,0,0
Piacenza,SerieB,,,,,,,,,,2011-05-29,5481,0,0
Piacenza ,SerieB,,,,,,,,,,2010-05-15,5860,0,0
Pisa,SerieA,266.0,2.556,0.154,14.85,-0.1785,0.5655,2.549,2.564,0.015,2026-05-23,8,3,0
Pistoiese,SerieB,,,,,,,,,,2002-06-02,8764,0,0
Plymouth,Championship,356.0,1.607,0.062,12.772,-0.1287,0.32,1.392,1.817,0.425,2025-05-03,393,0,0
Poli Ejido,Segunda,,,,,,,,,,2008-06-14,6560,0,0
