match_date,season,league,home_team,away_team,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_win_rate,h2h_goal_diff_avg,h2h_meetings,h2h_dominance,revenge_factor,post_loss_bounce,post_loss_bounce_away,season_position_proxy,is_early_season,home_unbeaten_run,away_unbeaten_run,actual_result
2020-09-20,2020-21,Ligue1,Metz,Reims,0,0,0,0.45,0.0,0,0.0,0,1,1,3,1,0,0,1.0
2020-09-20,2020-21,Ligue1,Brest,Lorient,0,0,0,0.45,0.0,0,0.0,0,0,1,3,1,1,0,1.0
2020-09-20,2020-21,SerieA,Parma,Napoli,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-20,2020-21,Ligue1,Nice,Paris SG,0,0,0,0.45,0.0,0,0.0,0,1,0,3,1,0,1,0.0
2020-09-20,2020-21,SerieA,Genoa,Crotone,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-20,2020-21,SerieA,Sassuolo,Cagliari,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-09-20,2020-21,SerieA,Juventus,Sampdoria,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-20,2020-21,EPL,Southampton,Tottenham,0,0,0,0.45,0.0,0,0.0,0,1,1,1,1,0,0,0.0
2020-09-20,2020-21,EPL,Leicester,Burnley,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,0,1.0
2020-09-20,2020-21,EPL,Chelsea,Liverpool,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,0.0
2020-09-20,2020-21,Ligue1,Montpellier,Angers,0,0,0,0.45,0.0,0,0.0,0,0,0,3,1,2,1,1.0
2020-09-20,2020-21,Bundesliga,Wolfsburg,Leverkusen,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-09-20,2020-21,Bundesliga,RB Leipzig,Mainz,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-20,2020-21,Ligue1,Strasbourg,Dijon,0,0,0,0.45,0.0,0,0.0,0,1,1,3,1,0,0,1.0
2020-09-20,2020-21,Ligue1,Nantes,St Etienne,0,0,0,0.45,0.0,0,0.0,0,1,0,3,1,0,3,0.5
2020-09-20,2020-21,Ligue1,Marseille,Lille,0,0,0,0.45,0.0,0,0.0,0,1,0,3,1,0,3,0.5
2020-09-20,2020-21,EPL,Newcastle,Brighton,0,0,0,0.45,0.0,0,0.0,0,0,1,1,1,1,0,0.0
2020-09-20,2020-21,LaLiga,Granada,Alaves,0,0,0,0.45,0.0,0,0.0,0,0,1,1,1,1,0,1.0
2020-09-20,2020-21,LaLiga,Sociedad,Real Madrid,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,0,0.5
2020-09-20,2020-21,LaLiga,Huesca,Cadiz,0,0,0,0.45,0.0,0,0.0,0,0,1,1,1,1,0,0.0
2020-09-20,2020-21,LaLiga,Betis,Valladolid,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,1.0
2020-09-21,2020-21,SerieA,Milan,Bologna,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-21,2020-21,EPL,Wolves,Man City,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,0,0.0
2020-09-21,2020-21,EPL,Aston Villa,Sheffield United,0,0,0,0.45,0.0,0,0.0,0,0,1,0,1,0,0,1.0
2020-09-25,2020-21,Ligue1,Lille,Nantes,0,0,0,0.45,0.0,0,0.0,0,0,0,4,1,4,1,1.0
2020-09-25,2020-21,Bundesliga,Hertha,Ein Frankfurt,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,0.0
2020-09-26,2020-21,Ligue1,St Etienne,Rennes,0,0,0,0.45,0.0,0,0.0,0,0,0,4,1,4,4,0.0
2020-09-26,2020-21,Ligue1,Marseille,Metz,0,0,0,0.45,0.0,0,0.0,0,0,0,4,1,1,1,0.5
2020-09-26,2020-21,SerieA,Torino,Atalanta,0,0,0,0.45,0.0,0,0.0,0,1,0,1,1,0,0,0.0
2020-09-26,2020-21,SerieA,Inter,Fiorentina,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,1,1.0
2020-09-26,2020-21,Bundesliga,Schalke 04,Werder Bremen,0,0,0,0.45,0.0,0,0.0,0,1,1,1,1,0,0,0.0
2020-09-26,2020-21,Bundesliga,M'gladbach,Union Berlin,0,0,0,0.45,0.0,0,0.0,0,1,1,1,1,0,0,0.5
2020-09-26,2020-21,Bundesliga,Leverkusen,RB Leipzig,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,0.5
2020-09-26,2020-21,Bundesliga,Bielefeld,FC Koln,0,0,0,0.45,0.0,0,0.0,0,0,1,1,1,1,0,1.0
2020-09-26,2020-21,SerieA,Sampdoria,Benevento,0,0,0,0.45,0.0,0,0.0,0,1,0,1,1,0,0,0.0
2020-09-26,2020-21,EPL,Brighton,Man United,0,0,0,0.45,0.0,0,0.0,0,0,1,2,1,1,0,0.0
2020-09-26,2020-21,EPL,Crystal Palace,Everton,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,2,2,0.0
2020-09-26,2020-21,Bundesliga,Mainz,Stuttgart,0,0,0,0.45,0.0,0,0.0,0,1,1,1,1,0,0,0.0
2020-09-26,2020-21,EPL,Burnley,Southampton,0,0,0,0.45,0.0,0,0.0,0,1,1,1,1,0,0,0.0
2020-09-26,2020-21,LaLiga,Alaves,Getafe,0,0,0,0.45,0.0,0,0.0,0,1,0,2,1,0,1,0.5
2020-09-26,2020-21,EPL,West Brom,Chelsea,0,0,0,0.45,0.0,0,0.0,0,1,1,2,1,0,0,0.5
2020-09-26,2020-21,LaLiga,Elche,Sociedad,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,2,0.0
2020-09-26,2020-21,LaLiga,Betis,Real Madrid,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,2,1,0.0
2020-09-26,2020-21,Bundesliga,Augsburg,Dortmund,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,1.0
2020-09-26,2020-21,LaLiga,Valencia,Huesca,0,0,0,0.45,0.0,0,0.0,0,1,1,2,1,0,0,0.5
2020-09-26,2020-21,SerieA,Cagliari,Lazio,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,0,0.0
2020-09-27,2020-21,Ligue1,Bordeaux,Nice,0,0,0,0.45,0.0,0,0.0,0,1,1,4,1,0,0,0.5
2020-09-27,2020-21,Ligue1,Angers,Brest,0,0,0,0.45,0.0,0,0.0,0,1,0,4,1,0,2,1.0
2020-09-27,2020-21,Ligue1,Dijon,Montpellier,0,0,0,0.45,0.0,0,0.0,0,1,0,4,1,0,3,0.5
2020-09-27,2020-21,Ligue1,Monaco,Strasbourg,0,0,0,0.45,0.0,0,0.0,0,1,0,4,1,0,1,1.0
2020-09-27,2020-21,Ligue1,Reims,Paris SG,0,0,0,0.45,0.0,0,0.0,0,1,0,4,1,0,2,0.0
2020-09-27,2020-21,Bundesliga,Freiburg,Wolfsburg,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,0.5
2020-09-27,2020-21,Bundesliga,Hoffenheim,Bayern Munich,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,1.0
2020-09-27,2020-21,EPL,Man City,Leicester,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,2,0.0
2020-09-27,2020-21,SerieA,Napoli,Genoa,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,1.0
2020-09-27,2020-21,EPL,West Ham,Wolves,0,0,0,0.45,0.0,0,0.0,0,1,1,2,1,0,0,1.0
2020-09-27,2020-21,SerieA,Spezia,Sassuolo,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,1,0.0
2020-09-27,2020-21,LaLiga,Barcelona,Villarreal,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,2,1.0
2020-09-27,2020-21,LaLiga,Valladolid,Celta,0,0,0,0.45,0.0,0,0.0,0,1,0,2,1,0,2,0.5
2020-09-27,2020-21,LaLiga,Cadiz,Sevilla,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,1,0,0.0
2020-09-27,2020-21,LaLiga,Ath Madrid,Granada,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,2,1.0
2020-09-27,2020-21,LaLiga,Eibar,Ath Bilbao,0,0,0,0.45,0.0,0,0.0,0,1,1,2,1,0,0,0.0
2020-09-27,2020-21,LaLiga,Osasuna,Levante,0,0,0,0.45,0.0,0,0.0,0,1,1,2,1,0,0,0.0
2020-09-27,2020-21,EPL,Sheffield United,Leeds,0,0,0,0.45,0.0,0,0.0,0,1,0,2,1,0,1,0.0
2020-09-27,2020-21,Ligue1,Lorient,Lyon,0,0,0,0.45,0.0,0,0.0,0,1,0,4,1,0,1,0.5
2020-09-27,2020-21,Ligue1,Nimes,Lens,0,0,0,0.45,0.0,0,0.0,0,0,0,4,1,1,3,0.5
2020-09-27,2020-21,SerieA,Verona,Udinese,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,0,1.0
2020-09-27,2020-21,EPL,Tottenham,Newcastle,0,0,0,0.45,0.0,0,0.0,0,0,1,2,1,1,0,0.5
2020-09-27,2020-21,SerieA,Roma,Juventus,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,0.5
2020-09-27,2020-21,SerieA,Crotone,Milan,0,0,0,0.45,0.0,0,0.0,0,1,0,1,1,0,1,0.0
2020-09-28,2020-21,EPL,Liverpool,Arsenal,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,2,2,1.0
2020-09-28,2020-21,EPL,Fulham,Aston Villa,0,0,0,0.45,0.0,0,0.0,0,1,0,2,1,0,1,0.0
2020-09-28,2020-21,SerieA,Bologna,Parma,0,0,0,0.45,0.0,0,0.0,0,1,1,1,1,0,0,1.0
2020-09-29,2020-21,LaLiga,Sociedad,Valencia,0,0,0,0.45,0.0,0,0.0,0,0,0,3,1,3,1,0.0
2020-09-29,2020-21,LaLiga,Getafe,Betis,0,0,0,0.45,0.0,0,0.0,0,0,1,2,1,2,0,1.0
2020-09-30,2020-21,LaLiga,Huesca,Ath Madrid,0,0,0,0.45,0.0,0,0.0,0,0,0,3,1,1,1,0.5
2020-09-30,2020-21,LaLiga,Real Madrid,Valladolid,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,2,1,1.0
2020-09-30,2020-21,LaLiga,Eibar,Elche,0,0,0,0.45,0.0,0,0.0,0,1,1,3,1,0,0,0.0
2020-09-30,2020-21,SerieA,Benevento,Inter,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,0.0
2020-09-30,2020-21,SerieA,Udinese,Spezia,0,0,0,0.45,0.0,0,0.0,0,1,1,1,1,0,0,0.0
2020-09-30,2020-21,SerieA,Lazio,Atalanta,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,0.0
2020-09-30,2020-21,LaLiga,Villarreal,Alaves,0,0,0,0.45,0.0,0,0.0,0,1,0,3,1,0,1,1.0
2020-10-01,2020-21,LaLiga,Ath Bilbao,Cadiz,0,0,0,0.45,0.0,0,0.0,0,0,1,2,1,1,0,0.0
2020-10-01,2020-21,LaLiga,Sevilla,Levante,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,1.0
2020-10-01,2020-21,LaLiga,Celta,Barcelona,0,0,0,0.45,0.0,0,0.0,0,0,0,3,1,3,1,0.0
2020-10-02,2020-21,Bundesliga,Union Berlin,Mainz,0,0,0,0.45,0.0,0,0.0,0,0,1,2,1,1,0,1.0
2020-10-02,2020-21,Ligue1,Paris SG,Angers,0,0,0,0.45,0.0,0,0.0,0,0,0,5,0,3,1,1.0
2020-10-02,2020-21,SerieA,Fiorentina,Sampdoria,0,0,0,0.45,0.0,0,0.0,0,1,1,2,1,0,0,0.0
2020-10-03,2020-21,LaLiga,Sociedad,Getafe,0,0,0,0.45,0.0,0,0.0,0,1,0,4,1,0,3,1.0
2020-10-03,2020-21,LaLiga,Valencia,Betis,0,0,0,0.45,0.0,0,0.0,0,0,1,4,1,2,0,0.0
2020-10-03,2020-21,LaLiga,Elche,Huesca,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,1,2,0.5
2020-10-03,2020-21,SerieA,Udinese,Roma,0,0,0,0.45,0.0,0,0.0,0,1,0,2,1,0,2,0.0
2020-10-03,2020-21,LaLiga,Valladolid,Eibar,0,0,0,0.45,0.0,0,0.0,0,1,1,4,1,0,0,0.0
2020-10-03,2020-21,Bundesliga,RB Leipzig,Schalke 04,0,0,0,0.45,0.0,0,0.0,0,0,1,2,1,2,0,1.0
2020-10-03,2020-21,Bundesliga,Werder Bremen,Bielefeld,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,1,2,1.0
2020-10-03,2020-21,Bundesliga,FC Koln,M'gladbach,0,0,0,0.45,0.0,0,0.0,0,1,0,2,1,0,1,0.0
2020-10-03,2020-21,Bundesliga,Ein Frankfurt,Hoffenheim,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,2,2,1.0
2020-10-03,2020-21,SerieA,Sassuolo,Crotone,0,0,0,0.45,0.0,0,0.0,0,0,1,2,1,2,0,1.0
2020-10-03,2020-21,LaLiga,Ath Madrid,Villarreal,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,2,1,0.5
2020-10-03,2020-21,Bundesliga,Stuttgart,Leverkusen,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,1,2,0.5
2020-10-03,2020-21,Bundesliga,Dortmund,Freiburg,0,0,0,0.45,0.0,0,0.0,0,1,0,2,1,0,2,1.0
2020-10-03,2020-21,Ligue1,Nice,Nantes,0,0,0,0.45,0.0,0,0.0,0,0,1,5,0,1,0,1.0
2020-10-03,2020-21,Ligue1,Lens,St Etienne,0,0,0,0.45,0.0,0,0.0,0,0,1,5,0,4,0,1.0
2020-10-03,2020-21,EPL,Chelsea,Crystal Palace,0,0,0,0.45,0.0,0,0.0,0,0,1,3,1,1,0,1.0
2020-10-03,2020-21,EPL,Everton,Brighton,0,0,0,0.45,0.0,0,0.0,0,0,1,3,1,3,0,1.0
2020-10-03,2020-21,EPL,Leeds,Man City,0,0,0,0.45,0.0,0,0.0,0,0,1,3,1,2,0,0.5
2020-10-03,2020-21,EPL,Newcastle,Burnley,0,0,0,0.45,0.0,0,0.0,0,0,1,3,1,1,0,1.0
2020-10-04,2020-21,LaLiga,Levante,Real Madrid,0,0,0,0.45,0.0,0,0.0,0,1,0,3,1,0,3,0.0
2020-10-04,2020-21,LaLiga,Alaves,Ath Bilbao,0,0,0,0.45,0.0,0,0.0,0,1,1,4,1,0,0,1.0
2020-10-04,2020-21,LaLiga,Osasuna,Celta,0,0,0,0.45,0.0,0,0.0,0,1,1,3,1,0,0,1.0
2020-10-04,2020-21,EPL,Leicester,West Ham,0,0,0,0.45,0.0,0,0.0,0,0,0,3,1,3,1,0.0
2020-10-04,2020-21,EPL,Southampton,West Brom,0,0,0,0.45,0.0,0,0.0,0,0,0,3,1,1,1,1.0
2020-10-04,2020-21,EPL,Arsenal,Sheffield United,0,0,0,0.45,0.0,0,0.0,0,1,1,3,1,0,0,1.0
