date,match,league,outcome,odds,stake,won,pnl,cumulative_pnl,bankroll
2026-01-07,Everton vs Wolves,EPL,H,1.75,0.0,0,-0.0,-1000.0,0.0
2026-01-07,Napoli vs Verona,SerieA,H,1.36,0.0,0,-0.0,-1000.0,0.0
2026-01-07,Lazio vs Fiorentina,SerieA,H,2.4,0.0,0,-0.0,-1000.0,0.0
2026-01-07,Brentford vs Sunderland,EPL,H,1.85,0.0,1,0.0,-1000.0,0.0
2026-01-07,Fulham vs Chelsea,EPL,H,3.4,0.0,1,0.0,-1000.0,0.0
2026-01-08,Milan vs Genoa,SerieA,H,1.44,0.0,0,-0.0,-1000.0,0.0
2026-01-08,Cremonese vs Cagliari,SerieA,H,2.4,0.0,0,-0.0,-1000.0,0.0
2026-01-09,Getafe vs Sociedad,LaLiga,H,3.3,0.0,0,-0.0,-1000.0,0.0
2026-01-09,Cadiz vs Sp Gijon,Segunda,H,2.57,0.0,1,0.0,-1000.0,0.0
2026-01-09,Ein Frankfurt vs Dortmund,Bundesliga,H,3.6,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Avellino vs Sampdoria,SerieB,H,3.0,0.0,1,0.0,-1000.0,0.0
2026-01-10,Villarreal vs Alaves,LaLiga,H,1.45,0.0,1,0.0,-1000.0,0.0
2026-01-10,Livingston vs Kilmarnock,ScottishPrem,A,3.1,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Heidenheim vs FC Koln,Bundesliga,H,2.9,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Leverkusen vs Stuttgart,Bundesliga,H,1.95,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Cesena vs Empoli,SerieB,A,4.2,0.0,1,0.0,-1000.0,0.0
2026-01-10,Sociedad B vs Albacete,Segunda,H,2.7,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Santander vs Zaragoza,Segunda,H,1.66,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Mirandes vs Almeria,Segunda,H,3.5,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Reggiana vs Venezia,SerieB,H,5.25,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Reggiana vs Venezia,SerieB,D,3.9,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Virtus Entella vs Monza,SerieB,A,1.91,0.0,0,-0.0,-1000.0,0.0
2026-01-10,Como vs Bologna,SerieA,A,4.2,0.0,0,-0.0,-1000.0,0.0
2026-01-11,Aberdeen vs Rangers,ScottishPrem,A,1.68,0.0,1,0.0,-1000.0,0.0
2026-01-11,Dundee vs Hearts,ScottishPrem,H,8.0,0.0,0,-0.0,-1000.0,0.0
2026-01-11,Verona vs Lazio,SerieA,A,2.35,0.0,1,0.0,-1000.0,0.0
2026-01-11,Leganes vs Valladolid,Segunda,H,2.35,0.0,1,0.0,-1000.0,0.0
2026-01-11,Padova vs Modena,SerieB,H,4.33,0.0,1,0.0,-1000.0,0.0
2026-01-11,Granada vs Castellon,Segunda,H,3.0,0.0,0,-0.0,-1000.0,0.0
2026-01-12,Huesca vs Cordoba,Segunda,H,2.82,0.0,0,-0.0,-1000.0,0.0
2026-01-14,Wolfsburg vs St Pauli,Bundesliga,D,3.7,0.0,0,-0.0,-1000.0,0.0
2026-01-15,Verona vs Bologna,SerieA,A,2.1,0.0,1,0.0,-1000.0,0.0
2026-01-16,Fortuna Dusseldorf vs Bielefeld,Bundesliga2,H,2.55,0.0,1,0.0,-1000.0,0.0
2026-01-16,Rodez vs Le Mans,Ligue2,H,2.45,0.0,0,-0.0,-1000.0,0.0
2026-01-16,Castellon vs Leganes,Segunda,D,4.1,0.0,0,-0.0,-1000.0,0.0
2026-01-16,Castellon vs Leganes,Segunda,A,5.25,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Sheffield Weds vs Portsmouth,Championship,H,3.4,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Monza vs Frosinone,SerieB,A,4.5,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Sunderland vs Crystal Palace,EPL,A,2.75,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Leeds vs Fulham,EPL,A,3.5,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Chelsea vs Brentford,EPL,D,4.0,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Toulouse vs Nice,Ligue1,A,3.9,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Empoli vs Sudtirol,SerieB,H,2.2,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Zaragoza vs Sociedad B,Segunda,A,5.0,0.0,0,-0.0,-1000.0,0.0
2026-01-17,PreuÃen MÃ¼nster vs Karlsruhe,Bundesliga2,A,3.8,0.0,1,0.0,-1000.0,0.0
2026-01-17,Angers vs Marseille,Ligue1,H,5.75,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Hertha vs Schalke 04,Bundesliga2,H,2.63,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Hoffenheim vs Leverkusen,Bundesliga,A,2.7,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Preston vs Derby,Championship,H,2.2,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Dresden vs Greuther Furth,Bundesliga2,A,3.75,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Venezia vs Catanzaro,SerieB,A,6.0,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Bari vs Juve Stabia,SerieB,H,3.1,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Padova vs Mantova,SerieB,H,2.25,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Cultural Leonesa vs Sp Gijon,Segunda,H,3.2,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Venezia vs Catanzaro,SerieB,D,4.1,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Reggiana vs Cesena,SerieB,H,3.7,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Mallorca vs Ath Bilbao,LaLiga,H,3.8,0.0,1,0.0,-1000.0,0.0
2026-01-17,Avellino vs Carrarese,SerieB,H,2.65,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Southampton vs Hull,Championship,A,4.75,0.0,1,0.0,-1000.0,0.0
2026-01-17,Ceuta vs Valladolid,Segunda,H,2.5,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Wrexham vs Norwich,Championship,H,2.2,0.0,0,-0.0,-1000.0,0.0
2026-01-17,Dortmund vs St Pauli,Bundesliga,H,1.33,0.0,1,0.0,-1000.0,0.0
2026-01-17,Napoli vs Sassuolo,SerieA,H,1.48,0.0,1,0.0,-1000.0,0.0
2026-01-17,Swansea vs Birmingham,Championship,H,2.65,0.0,0,-0.0,-1000.0,0.0
2026-01-18,Nantes vs Paris FC,Ligue1,H,3.0,0.0,0,-0.0,-1000.0,0.0
2026-01-18,Bologna vs Fiorentina,SerieA,H,2.2,0.0,0,-0.0,-1000.0,0.0
2026-01-18,Sociedad vs Barcelona,LaLiga,A,1.55,0.0,0,-0.0,-1000.0,0.0
2026-01-18,Celta vs Vallecano,LaLiga,H,2.05,0.0,1,0.0,-1000.0,0.0
2026-01-18,Parma vs Genoa,SerieA,H,2.9,0.0,0,-0.0,-1000.0,0.0
2026-01-18,Milan vs Lecce,SerieA,H,1.29,0.0,1,0.0,-1000.0,0.0
2026-01-18,Pescara vs Modena,SerieB,H,5.0,0.0,0,-0.0,-1000.0,0.0
2026-01-18,Albacete vs Cadiz,Segunda,A,3.2,0.0,0,-0.0,-1000.0,0.0
2026-01-18,Kaiserslautern vs Hannover,Bundesliga2,H,3.3,0.0,1,0.0,-1000.0,0.0
2026-01-18,Mirandes vs Andorra,Segunda,H,2.45,0.0,0,-0.0,-1000.0,0.0
2026-01-19,Lazio vs Como,SerieA,H,2.7,0.0,0,-0.0,-1000.0,0.0
2026-01-19,Nancy vs Guingamp,Ligue2,A,2.6,0.0,1,0.0,-1000.0,0.0
2026-01-19,Cremonese vs Verona,SerieA,H,2.63,0.0,0,-0.0,-1000.0,0.0
2026-01-20,Sheffield Weds vs Birmingham,Championship,H,6.5,0.0,0,-0.0,-1000.0,0.0
2026-01-20,Sheffield Weds vs Birmingham,Championship,D,4.2,0.0,0,-0.0,-1000.0,0.0
2026-01-21,Stoke vs Middlesbrough,Championship,H,3.0,0.0,0,-0.0,-1000.0,0.0
2026-01-21,Southampton vs Sheffield United,Championship,D,3.8,0.0,0,-0.0,-1000.0,0.0
2026-01-23,Pau FC vs Grenoble,Ligue2,A,4.33,0.0,0,-0.0,-1000.0,0.0
2026-01-23,Derby vs West Brom,Championship,H,2.55,0.0,0,-0.0,-1000.0,0.0
2026-01-23,Nancy vs Rodez,Ligue2,A,3.4,0.0,1,0.0,-1000.0,0.0
2026-01-23,Bastia vs Montpellier,Ligue2,H,2.8,0.0,0,-0.0,-1000.0,0.0
2026-01-23,Bielefeld vs Holstein Kiel,Bundesliga2,A,3.5,0.0,0,-0.0,-1000.0,0.0
2026-01-23,Amiens vs Laval,Ligue2,H,2.9,0.0,0,-0.0,-1000.0,0.0
2026-01-23,St Pauli vs Hamburg,Bundesliga,H,2.88,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Sp Gijon vs Mirandes,Segunda,A,5.5,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Juve Stabia vs Virtus Entella,SerieB,H,1.96,0.0,1,0.0,-1000.0,0.0
2026-01-24,Leicester vs Oxford,Championship,H,1.86,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Birmingham vs Stoke,Championship,D,3.6,0.0,1,0.0,-1000.0,0.0
2026-01-24,Birmingham vs Stoke,Championship,A,4.0,0.0,0,-0.0,-1000.0,0.0
2026-01-24,West Ham vs Sunderland,EPL,H,2.5,0.0,1,0.0,-1000.0,0.0
2026-01-24,Mantova vs Venezia,SerieB,H,5.75,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Cadiz vs Granada,Segunda,H,2.65,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Karlsruhe vs Hertha,Bundesliga2,H,3.5,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Bristol City vs Sheffield Weds,Championship,D,6.0,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Leverkusen vs Werder Bremen,Bundesliga,H,1.62,0.0,1,0.0,-1000.0,0.0
2026-01-24,Union Berlin vs Dortmund,Bundesliga,A,2.05,0.0,1,0.0,-1000.0,0.0
2026-01-24,Frosinone vs Reggiana,SerieB,H,1.56,0.0,1,0.0,-1000.0,0.0
2026-01-24,Ein Frankfurt vs Hoffenheim,Bundesliga,H,2.8,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Burnley vs Tottenham,EPL,H,3.7,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Hannover vs Fortuna Dusseldorf,Bundesliga2,D,4.0,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Greuther Furth vs Braunschweig,Bundesliga2,H,2.55,0.0,0,-0.0,-1000.0,0.0
2026-01-24,Hull vs Swansea,Championship,H,2.32,0.0,1,0.0,-1000.0,0.0
2026-01-24,Valladolid vs Albacete,Segunda,A,3.9,0.0,1,0.0,-1000.0,0.0
2026-01-25,Sociedad vs Celta,LaLiga,A,3.9,0.0,0,-0.0,-1000.0,0.0
2026-01-25,Crystal Palace vs Chelsea,EPL,H,3.5,0.0,0,-0.0,-1000.0,0.0
2026-01-25,Portsmouth vs Southampton,Championship,H,3.2,0.0,0,-0.0,-1000.0,0.0
2026-01-25,Paris FC vs Angers,Ligue1,A,4.75,0.0,0,-0.0,-1000.0,0.0
2026-01-25,Zaragoza vs Castellon,Segunda,H,3.75,0.0,0,-0.0,-1000.0,0.0
2026-01-25,Brest vs Toulouse,Ligue1,H,2.8,0.0,0,-0.0,-1000.0,0.0
2026-01-25,Arsenal vs Man United,EPL,H,1.55,0.0,0,-0.0,-1000.0,0.0
2026-01-25,Freiburg vs FC Koln,Bundesliga,H,1.9,0.0,1,0.0,-1000.0,0.0
2026-01-25,Catanzaro vs Sampdoria,SerieB,H,2.25,0.0,0,-0.0,-1000.0,0.0
2026-01-25,Juventus vs Napoli,SerieA,A,4.0,0.0,0,-0.0,-1000.0,0.0
2026-01-25,Newcastle vs Aston Villa,EPL,A,3.7,0.0,1,0.0,-1000.0,0.0
2026-01-25,Alaves vs Betis,LaLiga,A,2.7,0.0,0,-0.0,-1000.0,0.0
2026-01-26,Norwich vs Coventry,Championship,A,2.3,0.0,0,-0.0,-1000.0,0.0
