match_date,league,home_team,away_team,outcome,p_model,odds,implied_prob,edge,EV,kelly_fraction,half_kelly,actual_result,won,profit_flat,profit_kelly,clv
2024-03-30,Ligue2,Valenciennes,St Etienne,H,0.2208,5.5,0.1818,0.0501,0.2142,0.0476,0.0238,A,0,-1.0,-0.0238,0.1941
2024-03-30,Ligue1,Metz,Monaco,H,0.2349,5.25,0.1905,0.0528,0.2332,0.0549,0.0274,A,0,-1.0,-0.0274,0.2096
2024-03-30,EPL,Tottenham,Luton,D,0.1792,8.0,0.125,0.0601,0.434,0.062,0.031,H,0,-1.0,-0.031,0.3605
2024-03-30,EPL,Sheffield United,Fulham,H,0.2641,4.5,0.2222,0.0525,0.1883,0.0538,0.0269,D,0,-1.0,-0.0269,0.1725
2024-03-30,Ligue2,Troyes,Rodez,H,0.4038,2.7,0.3704,0.0562,0.0902,0.0531,0.0265,A,0,-1.0,-0.0265,0.0864
2024-03-30,LaLiga,Getafe,Sevilla,H,0.4611,2.55,0.3922,0.0869,0.1758,0.1134,0.0567,A,0,-1.0,-0.0567,0.1619
2024-03-30,EPL,Chelsea,Burnley,D,0.2123,6.0,0.1667,0.0531,0.2736,0.0547,0.0274,D,1,5.0,0.1368,0.2419
2024-03-30,Ligue2,Quevilly Rouen,Caen,A,0.3478,3.2,0.3125,0.0557,0.113,0.0514,0.0257,A,1,2.2,0.0565,0.1071
2024-03-30,Bundesliga,Bayern Munich,Dortmund,D,0.247,5.75,0.1739,0.0821,0.4202,0.0885,0.0442,A,0,-1.0,-0.0442,0.3508
2024-03-30,Bundesliga2,Kaiserslautern,Fortuna Dusseldorf,A,0.4904,2.38,0.4202,0.084,0.1671,0.1211,0.0605,A,1,1.38,0.0835,0.1545
2024-03-30,Bundesliga,Ein Frankfurt,Union Berlin,H,0.5449,2.0,0.5,0.0682,0.0899,0.0899,0.0449,D,0,-1.0,-0.0449,0.0861
