team,elo_rating,matches_played,last_match_date,confederation
Madrid,1488.57,1,2013-06-07,Other / Non-FIFA
Cilento,1488.38,1,2011-12-29,Other / Non-FIFA
Luhansk PR,1487.0,6,2019-12-08,Other / Non-FIFA
Yoruba Nation,1486.32,2,2022-05-23,Other / Non-FIFA
Åland Islands,1485.45,51,2023-07-13,Other / Non-FIFA
Shetland,1484.93,58,2025-07-17,Other / Non-FIFA
Vietnam,1484.89,297,2026-03-26,AFC
Madagascar,1484.7,320,2026-06-02,CAF
Seborga,1484.61,1,2014-08-10,Other / Non-FIFA
El Salvador,1482.75,614,2026-06-06,CONCACAF
Somaliland,1482.52,6,2019-05-04,Other / Non-FIFA
Togo,1482.2,447,2026-06-09,CAF
Székely Land,1481.52,27,2023-07-02,Other / Non-FIFA
Republic of St. Pauli,1480.71,4,2006-06-03,Other / Non-FIFA
Comoros,1479.5,151,2026-06-09,CAF
Ryūkyū,1479.45,1,2016-11-26,Other / Non-FIFA
West Papua,1478.0,2,2022-11-13,Other / Non-FIFA
Kazakhstan,1477.99,269,2026-06-09,UEFA
Hmong,1477.35,3,2023-08-08,Other / Non-FIFA
East Turkestan,1476.64,5,2025-07-04,Other / Non-FIFA
South Yemen,1476.31,3,1982-11-25,Other / Non-FIFA
Gozo,1476.22,14,2025-07-17,Other / Non-FIFA
South Ossetia,1475.32,17,2019-12-08,Other / Non-FIFA
North Korea,1474.27,390,2025-06-10,AFC
Martinique,1473.07,331,2026-03-29,Other / Non-FIFA
Aymara,1472.72,2,2022-06-19,Other / Non-FIFA
North Vietnam,1472.59,24,1970-09-20,Other / Non-FIFA
Sápmi,1472.21,29,2023-07-16,Other / Non-FIFA
Kuwait,1472.08,684,2026-06-05,AFC
Mozambique,1471.02,375,2026-06-09,CAF
Kabylia,1469.82,6,2018-06-09,Other / Non-FIFA
Kenya,1469.71,706,2026-06-04,CAF
Niue,1469.1,2,1983-08-22,OFC
Romani people,1467.75,7,2016-05-16,Other / Non-FIFA
Monaco,1465.66,24,2017-04-29,UEFA
Chechnya,1464.35,3,2006-02-18,Other / Non-FIFA
Luxembourg,1464.35,467,2026-06-06,UEFA
Nicaragua,1464.08,222,2026-06-05,CONCACAF
Papua New Guinea,1460.26,155,2025-11-23,OFC
Guyana,1459.07,313,2026-03-30,CONCACAF
Dominican Republic,1456.13,159,2026-06-03,CONCACAF
Vanuatu,1454.34,214,2026-06-06,OFC
Sudan,1453.79,469,2026-01-03,CAF
Găgăuzia,1453.76,3,2006-11-21,Other / Non-FIFA
Provence,1451.71,23,2013-06-28,Other / Non-FIFA
Western Isles,1451.12,34,2025-07-17,Other / Non-FIFA
Rwanda,1450.46,280,2026-03-30,CAF
Saarland,1449.75,9,1956-06-06,Other / Non-FIFA
Mauritania,1449.01,273,2026-06-08,CAF
Greenland,1448.83,77,2024-06-01,Other / Non-FIFA
Gotland,1448.16,30,2017-06-29,Other / Non-FIFA
Zimbabwe,1447.71,496,2026-05-30,CAF
Fiji,1446.97,268,2026-06-06,OFC
Niger,1446.88,260,2026-06-08,CAF
Estonia,1446.29,550,2026-06-09,UEFA
Ticino,1446.08,2,2023-08-06,Other / Non-FIFA
Palau,1445.46,2,1998-08-01,Other / Non-FIFA
Marshall Islands,1445.33,2,2025-08-16,AFC
Manchukuo,1442.73,3,1942-08-09,Other / Non-FIFA
Western Sahara,1442.21,9,2013-06-28,Other / Non-FIFA
Sierra Leone,1439.85,301,2026-06-09,CAF
Equatorial Guinea,1439.31,179,2026-06-09,CAF
Armenia,1439.2,272,2026-06-09,UEFA
Tajikistan,1438.62,201,2026-06-09,AFC
Mayotte,1437.62,38,2023-08-26,Other / Non-FIFA
French Guiana,1436.77,179,2024-11-19,Other / Non-FIFA
Kyrgyzstan,1436.37,191,2026-06-09,AFC
Two Sicilies,1435.89,6,2023-07-02,Other / Non-FIFA
Ambazonia,1426.11,6,2007-06-07,Other / Non-FIFA
Sark,1423.83,4,2003-07-03,Other / Non-FIFA
Lebanon,1423.7,333,2025-11-26,AFC
Faroe Islands,1423.41,287,2026-06-09,UEFA
Saint Barthélemy,1419.6,10,2023-03-10,Other / Non-FIFA
Orkney,1419.43,28,2025-07-17,Other / Non-FIFA
Malawi,1417.76,644,2026-06-09,CAF
Vatican City,1416.21,8,2022-04-22,Other / Non-FIFA
Western Australia,1413.79,32,1980-11-25,Other / Non-FIFA
Namibia,1411.59,279,2026-03-28,CAF
Raetia,1409.93,26,2023-08-06,Other / Non-FIFA
Azerbaijan,1409.45,310,2026-06-09,UEFA
Solomon Islands,1408.79,214,2026-03-30,OFC
Barawa,1406.7,12,2019-05-25,Other / Non-FIFA
Tanzania,1406.18,599,2026-03-29,CAF
Liberia,1403.48,302,2026-06-09,CAF
Micronesia,1403.21,7,2003-07-07,Other / Non-FIFA
Cuba,1402.13,397,2026-03-29,CONCACAF
Ethiopia,1400.11,409,2026-06-09,CAF
Saint Helena,1394.09,8,2023-07-13,Other / Non-FIFA
Cyprus,1393.13,426,2026-06-07,UEFA
Burundi,1390.61,218,2026-05-26,CAF
Botswana,1390.46,332,2026-03-31,CAF
Chagos Islands,1389.0,16,2019-12-29,Other / Non-FIFA
Vietnam Republic,1385.15,195,1975-03-23,Other / Non-FIFA
Turkmenistan,1384.66,175,2025-11-18,AFC
Lesotho,1383.33,296,2026-06-04,CAF
Darfur,1382.95,7,2014-06-07,Other / Non-FIFA
Hitra,1382.74,23,2025-07-17,Other / Non-FIFA
Yemen DPR,1382.02,25,1989-11-05,Other / Non-FIFA
Malta,1377.31,458,2026-06-05,UEFA
Saint Pierre and Miquelon,1374.34,7,2012-09-28,Other / Non-FIFA
Saint Vincent and the Grenadines,1372.21,236,2026-03-29,CONCACAF
Bermuda,1368.57,198,2026-06-06,CONCACAF
Central African Republic,1361.7,138,2026-06-09,CAF
Puerto Rico,1356.28,163,2026-06-05,CONCACAF
Guinea-Bissau,1354.59,190,2026-03-31,CAF
Saare County,1353.12,35,2017-06-29,Other / Non-FIFA
Latvia,1347.27,461,2026-06-09,UEFA
Philippines,1347.2,342,2026-06-09,AFC
Kiribati,1347.11,11,2011-09-05,OFC
Lithuania,1344.97,433,2026-06-09,UEFA
Congo,1343.89,406,2025-10-14,CAF
Wallis Islands and Futuna,1340.64,24,1995-08-20,Other / Non-FIFA
Moldova,1336.24,299,2026-06-09,UEFA
